id,category,true_is_phishing,predicted_is_phishing,risk_score,risk_level,detected_threats,correct
111,PHISHING,1,1,100,Dangerous,Display Name Spoofing; Malicious / Phishing Links; High Urgency & Fear Triggers; Lookalike Sender Domain,1
112,PHISHING,1,1,100,Dangerous,Display Name Spoofing; Malicious / Phishing Links; Reply-To Mismatch,1
113,PHISHING,1,1,100,Dangerous,Display Name Spoofing; Malicious / Phishing Links; High Urgency & Fear Triggers,1
114,PHISHING,1,1,100,Dangerous,Display Name Spoofing; High-Risk Attachment,1
115,PHISHING,1,0,40,Caution,Malicious / Phishing Links,0
116,PHISHING,1,1,100,Dangerous,Display Name Spoofing; Malicious / Phishing Links,1
117,PHISHING,1,1,55,High Risk,Malicious / Phishing Links; High Urgency & Fear Triggers,1
118,PHISHING,1,1,55,High Risk,Reply-To Mismatch; High Urgency & Fear Triggers,1
119,PHISHING,1,1,72,Dangerous,High Urgency & Fear Triggers; High-Risk Attachment; Financial / Fraud Lure,1
120,PHISHING,1,1,60,High Risk,High Urgency & Fear Triggers; High-Risk Attachment,1
121,PHISHING,1,0,12,Safe,Financial / Fraud Lure,0
122,PHISHING,1,1,57,High Risk,High Urgency & Fear Triggers; Financial / Fraud Lure,1
123,PHISHING,1,0,0,Safe,Clean,0
124,PHISHING,1,1,65,High Risk,Display Name Spoofing,1
125,PHISHING,1,1,100,Dangerous,Display Name Spoofing; Malicious / Phishing Links,1
126,PHISHING,1,1,100,Dangerous,Credential Harvesting Intent; High Urgency & Fear Triggers; Lookalike Sender Domain; Display Name Spoofing; Malicious / Phishing Links,1
127,PHISHING,1,1,100,Dangerous,Display Name Spoofing; Malicious / Phishing Links; High Urgency & Fear Triggers; High-Risk Attachment,1
128,PHISHING,1,1,70,Dangerous,Credential Harvesting Intent; Malicious / Phishing Links; High Urgency & Fear Triggers,1
129,PHISHING,1,1,55,High Risk,Credential Harvesting Intent; Malicious / Phishing Links,1
130,PHISHING,1,1,60,High Risk,High Urgency & Fear Triggers; High-Risk Attachment,1
131,PHISHING,1,1,45,High Risk,High-Risk Attachment,1
132,PHISHING,1,0,40,Caution,Malicious / Phishing Links,0
133,PHISHING,1,1,70,Dangerous,Malicious / Phishing Links; High Urgency & Fear Triggers,1
134,PHISHING,1,0,27,Caution,High Urgency & Fear Triggers; Financial / Fraud Lure,0
135,PHISHING,1,1,100,Dangerous,Display Name Spoofing; Malicious / Phishing Links; High Urgency & Fear Triggers,1
136,SUSPICIOUS,0,0,40,Caution,Reply-To Mismatch,1
137,SUSPICIOUS,0,0,12,Safe,Financial / Fraud Lure,1
138,SUSPICIOUS,0,0,40,Caution,Reply-To Mismatch,1
139,SUSPICIOUS,0,0,15,Safe,Credential Harvesting Intent,1
140,SUSPICIOUS,0,0,0,Safe,Clean,1
141,SUSPICIOUS,0,0,40,Caution,Reply-To Mismatch,1
142,SUSPICIOUS,0,1,45,High Risk,High-Risk Attachment,0
143,SUSPICIOUS,0,0,0,Safe,Clean,1
144,SUSPICIOUS,0,0,0,Safe,Clean,1
145,SUSPICIOUS,0,0,0,Safe,Clean,1
146,SUSPICIOUS,0,0,0,Safe,Clean,1
147,SUSPICIOUS,0,0,0,Safe,Clean,1
148,SUSPICIOUS,0,0,0,Safe,Clean,1
149,SUSPICIOUS,0,0,0,Safe,Clean,1
150,SUSPICIOUS,0,0,0,Safe,Clean,1
