"id","from","reply_to","subject","body","body_html","attachments","category","is_phishing"
"15","Apple Store <order-confirmation@apple.com>","no-reply@apple.com","We are processing your order W948210492","Thank you for your order from the Apple Store.

Item: USB-C to 3.5 mm Headphone Jack Adapter
Total: $9.00
Delivering to your shipping address on file.

Track progress on Apple.com.","<p>Thank you for your order. <a href='https://www.apple.com/shop/order/status'>Track Order Status</a>.</p>","[]","LEGITIMATE","0"
"16","Zoom Notifications <no-reply@zoom.us>","no-reply@zoom.us","Cloud Recording - Computer Science Study Group is now available","Hi there,

The cloud recording for 'Computer Science Study Group - Lecture 4 Review' is now available for viewing. Meeting ID: 849 201 491.

Access the recording on Zoom.","<p>Your recording is ready. <a href='https://zoom.us/rec/play/849201491'>Watch Recording</a>.</p>","[]","LEGITIMATE","0"
"17","Apex University Bookstore <orders@apexbookstore.com>","help@apexbookstore.com","Your Textbook Pickup is Ready at Campus Store","Hello Student,

Your order #BK-5921 for 'Physics for Scientists & Engineers' has been fulfilled and is ready for pickup at the main campus bookstore customer service counter. Bring your student ID.","<p>Your textbook is ready for pickup. <a href='https://www.apexbookstore.com/orders'>Check Order</a>.</p>","[]","LEGITIMATE","0"
"18","Discord Community <notifications@discord.com>","noreply@discord.com","New announcements in 'Apex Coders Society' server","Hey there,

Admin posted an announcement in #announcements: 'Workshop on Git and GitHub fundamentals will be held this Friday at 6 PM on voice channel 1.'

Open Discord to join.","<p>New announcement in Apex Coders Society. <a href='https://discord.com/channels/12345/67890'>Open Discord</a>.</p>","[]","LEGITIMATE","0"
"19","Uber Receipts <uber.us@uber.com>","support@uber.com","Your Tuesday morning trip with Uber","Thanks for riding with Uber. Total: $14.50. Ride from Campus North Gate to Tech Park. Driver rating: 5 stars.

View trip breakdown on your account.","<p>Thanks for riding with Uber. Total: $14.50. <a href='https://riders.uber.com/trips'>View Trip Details</a>.</p>","[]","LEGITIMATE","0"
"20","National Science Foundation <updates@nsf.gov>","info@nsf.gov","NSF Newsletter: Undergraduate Research Fellowship Applications Open","The National Science Foundation announces the opening of the 2026 Graduate and Undergraduate Research Fellowship Program. Review eligibility guidelines and submission deadlines on nsf.gov.","<p>Applications are open for research fellowships. <a href='https://www.nsf.gov/fellowships'>Read Guidelines</a>.</p>","[]","LEGITIMATE","0"
"21","Apex Dining Services <dining@apex.edu>","dining@apex.edu","Campus Meal Plan Balance Update","Your meal plan balance for the current week is 14 swipes and $45.00 dining dollars remaining. Enjoy your meals at the dining hall.","<p>Your meal plan balance for the current week is 14 swipes and $45.00 dining dollars remaining. Enjoy your meals at the dining hall.</p>","[]","LEGITIMATE","0"
"22","Apex Parking Office <parking@apex.edu>","parking@apex.edu","Student Parking Permit Valid for Fall 2026","Your digital parking permit for Lot C is active. Your registered vehicle license plate has been verified with campus security.","<p>Your digital parking permit for Lot C is active. Your registered vehicle license plate has been verified with campus security.</p>","[]","LEGITIMATE","0"
"23","Apex Career Center <careers@apex.edu>","careers@apex.edu","Upcoming Fall STEM Career & Internship Fair","Over 50 tech and engineering employers will be on campus next Tuesday. Register on Handshake to review participating companies.","<p>Over 50 tech and engineering employers will be on campus next Tuesday. Register on Handshake to review participating companies.</p>","[]","LEGITIMATE","0"
"24","Apex IT Helpdesk <ithelp@apex.edu>","ithelp@apex.edu","Scheduled Wi-Fi Maintenance in Dorms Saturday 2 AM","Campus IT will perform router firmware upgrades between 2:00 AM and 4:00 AM this Saturday. Wired network connections will remain unaffected.","<p>Campus IT will perform router firmware upgrades between 2:00 AM and 4:00 AM this Saturday. Wired network connections will remain unaffected.</p>","[]","LEGITIMATE","0"
"25","Grammarly Team <info@grammarly.com>","info@grammarly.com","Your Weekly Writing Insights & Statistics","Last week you wrote 4,200 words across browser documents with 98% accuracy. Keep up the productive writing!","<p>Last week you wrote 4,200 words across browser documents with 98% accuracy. Keep up the productive writing!</p>","[]","LEGITIMATE","0"
"26","Duolingo <learn@duolingo.com>","learn@duolingo.com","You maintained your 30-day streak in Spanish!","Great job practicing today! You are in the top 10% of learners in your league this week.","<p>Great job practicing today! You are in the top 10% of learners in your league this week.</p>","[]","LEGITIMATE","0"
"27","Medium Daily Digest <digest@medium.com>","digest@medium.com","Top stories in Machine Learning and Computer Science today","Here are today's recommended articles: 'Understanding Attention Mechanisms' and 'Modern Python 3.12 Features Explained'.","<p>Here are today's recommended articles: 'Understanding Attention Mechanisms' and 'Modern Python 3.12 Features Explained'.</p>","[]","LEGITIMATE","0"
"28","Stack Overflow <do-not-reply@stackoverflow.email>","do-not-reply@stackoverflow.email","Weekly Newsletter: Answers to Top Python and Algorithms Questions","Check out community-approved answers to this week's trending coding challenges on Stack Overflow.","<p>Check out community-approved answers to this week's trending coding challenges on Stack Overflow.</p>","[]","LEGITIMATE","0"
"29","Figma Notifications <notifications@figma.com>","notifications@figma.com","Alex shared the project 'Mobile App Wireframes' with you","You have been given view and comment access to Mobile App Wireframes on Figma. Click to open the canvas.","<p>You have been given view and comment access to Mobile App Wireframes on Figma. Click to open the canvas.</p>","[]","LEGITIMATE","0"
"30","Notion <team@m.notion.so>","team@m.notion.so","Updates in workspace 'Hackathon Project Tracker'","3 tasks were completed today in your hackathon board. Review current sprint progress on Notion.","<p>3 tasks were completed today in your hackathon board. Review current sprint progress on Notion.</p>","[]","LEGITIMATE","0"
"31","Kaggle Notifications <notifications@kaggle.com>","notifications@kaggle.com","New competition launched: Tabular Classification Challenge","Join the community in predicting customer churn using ensemble trees. $25,000 prize pool.","<p>Join the community in predicting customer churn using ensemble trees. $25,000 prize pool.</p>","[]","LEGITIMATE","0"
"32","Trello Notifications <alerts@trello.com>","alerts@trello.com","Card 'Implement ML Endpoint' moved to 'Done'","Member Yashicaa moved the card to Done on the PhishLens Development Board.","<p>Member Yashicaa moved the card to Done on the PhishLens Development Board.</p>","[]","LEGITIMATE","0"
"33","Sublime Text <sales@sublimetext.com>","sales@sublimetext.com","Sublime Text License Information & Receipt","Thank you for purchasing a personal license for Sublime Text 4. Your license key has been activated.","<p>Thank you for purchasing a personal license for Sublime Text 4. Your license key has been activated.</p>","[]","LEGITIMATE","0"
"34","JetBrains Team <news@jetbrains.com>","news@jetbrains.com","PyCharm 2026.2 Feature Highlights & Release Notes","Discover new debugging tools, integrated terminal updates, and AI code completion features in PyCharm.","<p>Discover new debugging tools, integrated terminal updates, and AI code completion features in PyCharm.</p>","[]","LEGITIMATE","0"
"35","Docker Community <newsletter@docker.com>","newsletter@docker.com","Docker Desktop Update 4.28 Available for Download","The latest version of Docker Desktop includes performance improvements for container builds and volume mounting.","<p>The latest version of Docker Desktop includes performance improvements for container builds and volume mounting.</p>","[]","LEGITIMATE","0"
"36","Steam Support <noreply@steampowered.com>","noreply@steampowered.com","Thank you for your Steam purchase","Your purchase of 'Indie Game Bundle' for $4.99 has been completed. The games are now in your Steam library.","<p>Your purchase of 'Indie Game Bundle' for $4.99 has been completed. The games are now in your Steam library.</p>","[]","LEGITIMATE","0"
"37","PlayStation Network <sony@email.sonyentertainmentnetwork.com>","sony@email.sonyentertainmentnetwork.com","Transaction Receipt for PlayStation Store","Thank you for your purchase on PlayStation Store. Order #PSN-49102. Amount: $0.00 (Free Demo).","<p>Thank you for your purchase on PlayStation Store. Order #PSN-49102. Amount: $0.00 (Free Demo).</p>","[]","LEGITIMATE","0"
"38","Goodreads <no-reply@goodreads.com>","no-reply@goodreads.com","Your Monthly Reading Goal Progress for September","You have read 8 of 12 books for your 2026 reading challenge! Check out recommendations from friends.","<p>You have read 8 of 12 books for your 2026 reading challenge! Check out recommendations from friends.</p>","[]","LEGITIMATE","0"
"39","TripAdvisor <updates@tripadvisor.com>","updates@tripadvisor.com","Explore top-rated hiking trails and parks near your city","Here are 5 scenic outdoor getaways with 4.5+ star ratings within 30 miles of campus.","<p>Here are 5 scenic outdoor getaways with 4.5+ star ratings within 30 miles of campus.</p>","[]","LEGITIMATE","0"
"40","National Weather Service <alerts@weather.gov>","alerts@weather.gov","Weekend Weather Outlook: Sunny with highs in the mid-70s","Expect clear skies throughout Saturday and Sunday with comfortable temperatures and low humidity.","<p>Expect clear skies throughout Saturday and Sunday with comfortable temperatures and low humidity.</p>","[]","LEGITIMATE","0"
"41","Apex Alumni Association <alumni@apex.edu>","alumni@apex.edu","Invitation: Annual Homecoming Football Game & Tailgate","Join fellow students and alumni on Saturday, October 10 for the homecoming game. Student tickets are complimentary.","<p>Join fellow students and alumni on Saturday, October 10 for the homecoming game. Student tickets are complimentary.</p>","[]","LEGITIMATE","0"
"42","Apex Robotics Club <robotics@apex.edu>","robotics@apex.edu","First General Body Meeting & Project Pitches","Join us this Wednesday in Engineering Hall Room 204. We will discuss combat robotics and autonomous drone teams.","<p>Join us this Wednesday in Engineering Hall Room 204. We will discuss combat robotics and autonomous drone teams.</p>","[]","LEGITIMATE","0"
"43","Apex Physics Society <physics@apex.edu>","physics@apex.edu","Guest Lecture: Quantum Computing Frontiers","Dr. Alan Turing Memorial Lecture by visiting scientist Dr. Clara Oswald this Friday at 4 PM.","<p>Dr. Alan Turing Memorial Lecture by visiting scientist Dr. Clara Oswald this Friday at 4 PM.</p>","[]","LEGITIMATE","0"
"44","Apex Art Gallery <gallery@apex.edu>","gallery@apex.edu","Opening Reception: Student Photography & Digital Media","Celebrate creative works by campus artists this Thursday evening from 6 PM to 8 PM. Refreshments served.","<p>Celebrate creative works by campus artists this Thursday evening from 6 PM to 8 PM. Refreshments served.</p>","[]","LEGITIMATE","0"
"45","Apex Volunteer Corps <volunteer@apex.edu>","volunteer@apex.edu","Community Garden Clean-up Day this Saturday","Help plant native pollinators and maintain community garden beds. Transportation provided from campus center.","<p>Help plant native pollinators and maintain community garden beds. Transportation provided from campus center.</p>","[]","LEGITIMATE","0"
"46","Public Radio International <membership@npr.org>","membership@npr.org","Thank you for supporting public radio and journalism","Your monthly listener pledge of $5.00 helps fund in-depth investigative reporting and educational podcasts.","<p>Your monthly listener pledge of $5.00 helps fund in-depth investigative reporting and educational podcasts.</p>","[]","LEGITIMATE","0"
"47","The Economist <newsletters@economist.com>","newsletters@economist.com","Global Business & Technology Weekly Executive Summary","A comprehensive analysis of renewable energy transitions and global supply chain trends.","<p>A comprehensive analysis of renewable energy transitions and global supply chain trends.</p>","[]","LEGITIMATE","0"
"48","MIT Technology Review <newsletters@technologyreview.com>","newsletters@technologyreview.com","The Download: What is next in Robotics and Synthetic Biology","Our editors analyze the latest breakthrough research papers in autonomous systems.","<p>Our editors analyze the latest breakthrough research papers in autonomous systems.</p>","[]","LEGITIMATE","0"
"49","ArXiv Alerts <no-reply@arxiv.org>","no-reply@arxiv.org","Daily Cs.AI paper feed: 12 new preprints submitted","New preprints covering ensemble classification, graph neural networks, and prompt engineering.","<p>New preprints covering ensemble classification, graph neural networks, and prompt engineering.</p>","[]","LEGITIMATE","0"
"50","IEEE Student Branch <ieee@apex.edu>","ieee@apex.edu","Call for Papers: Regional Undergraduate Technical Conference","Submit your course project or research paper for presentation at the IEEE student symposium.","<p>Submit your course project or research paper for presentation at the IEEE student symposium.</p>","[]","LEGITIMATE","0"
"51","Apex Department of Mathematics <math@apex.edu>","math@apex.edu","Math Tutoring Lab Open Hours for Fall Semester","Peer tutoring is available Monday through Friday from 10 AM to 6 PM in Science Building Room 102.","<p>Peer tutoring is available Monday through Friday from 10 AM to 6 PM in Science Building Room 102.</p>","[]","LEGITIMATE","0"
"52","Apex Residence Life <housing@apex.edu>","housing@apex.edu","Room Inspection Schedule for East Quad Dormitories","Routine safety checks for smoke detectors and fire extinguishers will take place next Tuesday morning.","<p>Routine safety checks for smoke detectors and fire extinguishers will take place next Tuesday morning.</p>","[]","LEGITIMATE","0"
"53","Apex Recreation Center <rec@apex.edu>","rec@apex.edu","Intramural Volleyball & Basketball League Registration","Form a team with friends or sign up as a free agent. Matches begin the third week of September.","<p>Form a team with friends or sign up as a free agent. Matches begin the third week of September.</p>","[]","LEGITIMATE","0"
"54","Apex Sustainability Club <green@apex.edu>","green@apex.edu","Campus Electronic Waste Recycling Drive","Bring old cables, laptops, and batteries to the Student Center lobby for safe e-waste recycling.","<p>Bring old cables, laptops, and batteries to the Student Center lobby for safe e-waste recycling.</p>","[]","LEGITIMATE","0"
"55","USPS Informed Delivery <USPSInformedDelivery@usps.gov>","USPSInformedDelivery@usps.gov","Your daily mail preview for Tuesday, Sep 8","You have 2 letter mail pieces arriving today from Apex University and Department of Revenue.","<p>You have 2 letter mail pieces arriving today from Apex University and Department of Revenue.</p>","[]","LEGITIMATE","0"
"56","Target Order Confirmation <orders@target.com>","orders@target.com","Your store pickup order is ready at Target West","Your order containing school supplies is ready at the guest service desk. Bring barcode #TG-9201.","<p>Your order containing school supplies is ready at the guest service desk. Bring barcode #TG-9201.</p>","[]","LEGITIMATE","0"
"57","Best Buy Receipts <bestbuyinfo@emailinfo.bestbuy.com>","bestbuyinfo@emailinfo.bestbuy.com","Your Best Buy e-receipt for Purchase on Sep 1","Item: SanDisk 64GB Flash Drive. Total: $11.99. Return policy valid through Sep 30.","<p>Item: SanDisk 64GB Flash Drive. Total: $11.99. Return policy valid through Sep 30.</p>","[]","LEGITIMATE","0"
"58","GitHub Security <security@github.com>","security@github.com","[GitHub] Two-factor authentication confirmed on your account","Two-factor authentication (2FA) is successfully configured using an authenticator app for user account.","<p>Two-factor authentication (2FA) is successfully configured using an authenticator app for user account.</p>","[]","LEGITIMATE","0"
"59","Google Security <no-reply@accounts.google.com>","no-reply@accounts.google.com","Security checkup completed for your Google Account","Your Google Account security checkup showed 0 high-priority security recommendations. All settings safe.","<p>Your Google Account security checkup showed 0 high-priority security recommendations. All settings safe.</p>","[]","LEGITIMATE","0"
"60","Microsoft Account Team <account-security-noreply@accountprotection.microsoft.com>","account-security-noreply@accountprotection.microsoft.com","Microsoft account security notification","A new trusted phone number was successfully added to your Microsoft personal account.","<p>A new trusted phone number was successfully added to your Microsoft personal account.</p>","[]","LEGITIMATE","0"
"61","Mega Deals Outlet <newsletter@discountmegamart.com>","newsletter@discountmegamart.com","Unbelievable Summer Clearance: Save up to 80% on Home Goods!","Shop our biggest clearance event of the season! Over 5,000 items discounted up to 80%. Valid this weekend only. Click here to unsubscribe if you no longer wish to receive special offers.","<p>Shop our biggest clearance event of the season! Over 5,000 items discounted up to 80%. Valid this weekend only. Click here to unsubscribe if you no longer wish to receive special offers.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"62","FitLife Health Gym <promotions@fitlifecluboffers.com>","promotions@fitlifecluboffers.com","Exclusive Fall Membership Pass: 50% Off First 3 Months","Ready to crush your fitness goals? Join FitLife today and get 50% off your membership plus a free personal training session. Reply STOP to opt out.","<p>Ready to crush your fitness goals? Join FitLife today and get 50% off your membership plus a free personal training session. Reply STOP to opt out.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"63","Elite SEO Solutions <sales@rankboosterspro.biz>","sales@rankboosterspro.biz","Boost your website Google ranking in 30 days - Free Audit","Dear Webmaster, we noticed your website could rank higher on search engines. Let our SEO specialists optimize your keywords. Check our packages.","<p>Dear Webmaster, we noticed your website could rank higher on search engines. Let our SEO specialists optimize your keywords. Check our packages.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"64","Direct Auto Insurance Quotes <quotes@compareautoplans.net>","quotes@compareautoplans.net","Compare Car Insurance Rates: Drivers could save up to $500/year","Looking for cheaper car insurance? Compare rates from top national carriers in under 2 minutes. Unsubscribe from marketing list here.","<p>Looking for cheaper car insurance? Compare rates from top national carriers in under 2 minutes. Unsubscribe from marketing list here.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"65","Online Course Superstore <promos@skillboostacademy.com>","promos@skillboostacademy.com","Flash Sale: All 500+ Video Courses Just $12.99 Today Only","Master Web Development, Graphic Design, or Data Science with lifetime access to top courses. Sale ends tonight at midnight.","<p>Master Web Development, Graphic Design, or Data Science with lifetime access to top courses. Sale ends tonight at midnight.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"66","Prime Mattress Warehouse <offers@comfortsleeppromo.com>","offers@comfortsleeppromo.com","Labor Day Mattress Extravaganza: Save up to $600 + Free Pillows","Upgrade your sleep with our award-winning memory foam mattresses. Free contactless shipping on all orders over $200.","<p>Upgrade your sleep with our award-winning memory foam mattresses. Free contactless shipping on all orders over $200.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"67","Gourmet Coffee Roasters <club@freshbeanroasters.org>","club@freshbeanroasters.org","Get 2 Free Bags of Single-Origin Artisan Coffee on Subscription","Discover rich, handcrafted coffee delivered fresh to your door every month. Use promo code COFFEE50 at checkout.","<p>Discover rich, handcrafted coffee delivered fresh to your door every month. Use promo code COFFEE50 at checkout.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"68","Modern Business Software <demos@cloudcrmtools.io>","demos@cloudcrmtools.io","Streamline your sales pipeline with our AI-powered CRM suite","Schedule a 15-minute product demonstration and see how 10,000+ businesses close deals faster. Unsubscribe anytime.","<p>Schedule a 15-minute product demonstration and see how 10,000+ businesses close deals faster. Unsubscribe anytime.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"69","Style Trends Weekly <fashion@chicwearstyle.com>","fashion@chicwearstyle.com","New Autumn Fashion Collection Just Dropped - Take 25% Off","Explore cozy sweaters, jackets, and footwear designed for the changing season. Use coupon code FALL25.","<p>Explore cozy sweaters, jackets, and footwear designed for the changing season. Use coupon code FALL25.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"70","Web Hosting Direct <promotions@speedyhostcloud.net>","promotions@speedyhostcloud.net","Reliable Cloud Hosting starting at only $1.99 per month","Host your websites with 99.9% uptime guarantee, free SSL certificate, and unlimited bandwidth. Register your domain today.","<p>Host your websites with 99.9% uptime guarantee, free SSL certificate, and unlimited bandwidth. Register your domain today.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"71","Luxury Vacation Club <deals@resortgetawaytravel.com>","deals@resortgetawaytravel.com","All-Inclusive Caribbean Resort Packages Starting at $399","Escape to turquoise waters and white sand beaches with our limited-time vacation package deals.","<p>Escape to turquoise waters and white sand beaches with our limited-time vacation package deals.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"72","Home Chef Express <offers@freshmealplans.com>","offers@freshmealplans.com","Get $100 Off Your First 4 Meal Kit Boxes","Cook delicious, chef-curated meals at home in 20 minutes with pre-portioned fresh ingredients.","<p>Cook delicious, chef-curated meals at home in 20 minutes with pre-portioned fresh ingredients.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"73","Digital Printing Pros <orders@customprintshop.biz>","orders@customprintshop.biz","Custom Business Cards & Banners: 30% Off Bulk Orders","Make a lasting impression with premium matte, gloss, or textured business cards. Fast 2-day turnaround.","<p>Make a lasting impression with premium matte, gloss, or textured business cards. Fast 2-day turnaround.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"74","Pet Care Club <newsletter@happyfurlife.com>","newsletter@happyfurlife.com","Subscribe & Save 20% on Organic Dog & Cat Food","Keep your pets healthy and energetic with veterinary-approved natural pet food delivered monthly.","<p>Keep your pets healthy and energetic with veterinary-approved natural pet food delivered monthly.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"75","Local Dentist Care <info@brightsmilecare.net>","info@brightsmilecare.net","New Patient Special: Dental Exam and Whitening for $79","Book your consultation at our downtown dental clinic and brighten your smile with modern laser whitening.","<p>Book your consultation at our downtown dental clinic and brighten your smile with modern laser whitening.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"76","Smart Home Gadgets <sales@futuristictechhub.com>","sales@futuristictechhub.com","Automate your home: Smart light bulbs and plugs on sale","Control your lighting and appliances with your smartphone or voice assistant. Bundle deals available.","<p>Control your lighting and appliances with your smartphone or voice assistant. Bundle deals available.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"77","Global Tech Webinar Series <events@innovatorsummit.org>","events@innovatorsummit.org","Free Virtual Webinar: The Future of Cloud Architecture in 2027","Join industry leaders as they discuss microservices, Kubernetes, and serverless best practices.","<p>Join industry leaders as they discuss microservices, Kubernetes, and serverless best practices.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"78","Audiobook Lovers Club <promo@listenbooksmonthly.com>","promo@listenbooksmonthly.com","Listen to 3 Best-Selling Audiobooks Free with Trial","Download thousands of audiobooks and podcasts for offline listening during your commute.","<p>Download thousands of audiobooks and podcasts for offline listening during your commute.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"79","Office Supplies Direct <sales@workplaceessentials.com>","sales@workplaceessentials.com","Stock up on Ergonomic Chairs and Standing Desks","Improve your posture and work comfort with our commercial-grade ergonomic office furniture.","<p>Improve your posture and work comfort with our commercial-grade ergonomic office furniture.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"80","Clean Green Energy <info@solarpowerplans.org>","info@solarpowerplans.org","Find out if your roof qualifies for Zero-Down Solar Panels","Federal and state tax incentives may cover up to 30% of your solar installation costs.","<p>Federal and state tax incentives may cover up to 30% of your solar installation costs.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
